일차,구분,뜻,표기
8일차,명사,성공,"成功 (せいこう)"
8일차,명사,세금 포함,"税込み (ぜいこみ)"
8일차,명사,정좌,"正座 (せいざ)"
8일차,명사,정치가,"政治家 (せいじか)"
8일차,명사,정식,"正式 (せいしき)"
8일차,명사,성질,"性質 (せいしつ)"
8일차,명사,청춘,"青春 (せいしゅん)"
8일차,명사,청소년,"青少年 (せいしょうねん)"
8일차,명사,성인,"成人 (せいじん)"
8일차,명사,성적,"成績 (せいせき)"
8일차,명사,청소,"清掃 (せいそう)"
8일차,명사,성장,"成長 (せいちょう)"
8일차,명사,청년,"青年 (せいねん)"
8일차,명사,생년월일,"生年月日 (せいねんがっぴ)"
8일차,명사,제품,"製品 (せいひん)"
8일차,명사,제복,"制服 (せいふく)"
8일차,명사,정문,"正門 (せいもん)"
8일차,명사,정리,"整理 (せいり)"
9일차,명사,기침,"咳 (せき)"
9일차,명사,책임,"責任 (せきにん)"
9일차,명사,석유,"石油 (せきゆ)"
9일차,명사,절약,"節約 (せつやく)"
9일차,명사,전원,"全員 (ぜんいん)"
9일차,명사,선거,"選挙 (せんきょ)"
9일차,명사,전후,"前後 (ぜんご)"
9일차,명사,전공,"専攻 (せんこう)"
9일차,명사,세제,"洗剤 (せんざい)"
9일차,명사,요전,"先日 (せんじつ)"
9일차,명사,전신,"全身 (ぜんしん)"
9일차,명사,선택,"選択 (せんたく)"
9일차,명사,세탁기,"洗濯機 (せんたくき)"
9일차,명사,세탁물,"洗濯物 (せんたくもの)"
9일차,명사,선전,"宣伝 (せんでん)"
9일차,명사,전반,"前半 (ぜんはん)"
9일차,명사,선풍기,"扇風機 (せんぷうき)"
9일차,명사,세면소,"洗面所 (せんめんじょ)"
9일차,명사,전문가,"専門家 (せんもんか)"
9일차,명사,선로,"線路 (せんろ)"
9일차,명사,소음,"騒音 (そうおん)"
9일차,명사,송금,"送金 (そうきん)"
9일차,명사,종합,"総合 (そうごう)"
9일차,명사,청소기,"掃除機 (そうじき)"
9일차,명사,송신,"送信 (そうしん)"
9일차,명사,상상,"想像 (そうぞう)"
9일차,명사,창조,"創造 (そうぞう)"
9일차,명사,상속,"相続 (そうぞく)"
9일차,명사,송별회,"送別会 (そうべつかい)"
9일차,명사,송료,"送料 (そうりょう)"
9일차,명사,속달,"速達 (そくたつ)"
9일차,명사,측정,"測定 (そくてい)"
9일차,명사,속도,"速度 (そくど)"
9일차,명사,측량,"測量 (そくりょう)"
9일차,명사,밑바닥,"底 (そこ)"
9일차,명사,졸업식,"卒業式 (そつぎょうしき)"
9일차,명사,소매,"袖 (そで)"
9일차,명사,체육,"体育 (たいいく)"
9일차,명사,체온,"体温 (たいおん)"
9일차,명사,대회,"大会 (たいかい)"
9일차,명사,퇴학,"退学 (たいがく)"
9일차,명사,대금,"代金 (だいきん)"
9일차,명사,대책,"対策 (たいさく)"
9일차,명사,체중,"体重 (たいじゅう)"
9일차,명사,퇴직,"退職 (たいしょく)"
9일차,명사,태도,"態度 (たいど)"
9일차,명사,대통령,"大統領 (だいとうりょう)"
9일차,명사,대표,"代表 (だいひょう)"
9일차,명사,체포,"逮捕 (たいほ)"
9일차,명사,제명,"題名 (だいめい)"
9일차,명사,대리,"代理 (だいり)"
9일차,명사,대량,"大量 (たいりょう)"
9일차,명사,체력,"体力 (たいりょく)"
9일차,명사,보물,"宝 (たから)"
9일차,명사,덧셈,"足し算 (たしざん)"
9일차,명사,공짜,"ただ (ただ)"
9일차,명사,싸움,"戦い (たたかい)"
9일차,명사,안음,抱っこ
9일차,명사,타인,"他人 (たにん)"
9일차,명사,씨앗,"種 (たね)"
9일차,명사,부탁,"頼み (たのみ)"
9일차,명사,여행,"旅 (たび)"
9일차,명사,단기,"短期 (たんき)"
9일차,명사,단어,"単語 (たんご)"
10일차,명사,남자,"男子 (だんし)"
10일차,명사,탄생,"誕生 (たんじょう)"
